,index,tweet,label,tweet_remove_url,tweet_remove_username,tweet_remove_url_username,tweet_remove_url_username_splite_hasghtag,tweet_remove_url_username_splite_hasghtag_lower_case,tweet_complete_cleaning
0,10221,Closed door session begins. More after they decide on the entities.  #GCF #SemST,1,Closed door session begins. More after they decide on the entities.  #GCF #SemST,Closed door session begins. More after they decide on the entities.  #GCF #SemST,Closed door session begins. More after they decide on the entities.  #GCF #SemST,Closed door session begins. More after they decide on the entities.  GCF Sem ST,closed door session begins. more after they decide on the entities.  gcf sem st,closed door session begins decide entities gcf sem st
1,10222,"What is the #energiewende agenda? Why are they not in the ""de-carbonizer"" camp?.  How long will you tolerate the lies?  #SemST",0,"What is the #energiewende agenda? Why are they not in the ""de-carbonizer"" camp?.  How long will you tolerate the lies?  #SemST","What is the #energiewende agenda? Why are they not in the ""de-carbonizer"" camp?.  How long will you tolerate the lies?  #SemST","What is the #energiewende agenda? Why are they not in the ""de-carbonizer"" camp?.  How long will you tolerate the lies?  #SemST","What is the energiewende agenda? Why are they not in the ""de-carbonizer"" camp?.  How long will you tolerate the lies?  Sem ST","what is the energiewende agenda? why are they not in the ""de-carbonizer"" camp?.  how long will you tolerate the lies?  sem st",energiewende agenda de carbonizer camp long tolerate lies sem st
2,10223,@climasphere Stocker: Fish catch potential could drop by as much as 50% in some areas due to #oceanacidification. #CFCC15 #SemST,0,@climasphere Stocker: Fish catch potential could drop by as much as 50% in some areas due to #oceanacidification. #CFCC15 #SemST,  Stocker: Fish catch potential could drop by as much as 50% in some areas due to #oceanacidification. #CFCC15 #SemST,  Stocker: Fish catch potential could drop by as much as 50% in some areas due to #oceanacidification. #CFCC15 #SemST,  Stocker: Fish catch potential could drop by as much as 50% in some areas due to oceanacidification CFCC 15 Sem ST,  stocker: fish catch potential could drop by as much as 50% in some areas due to oceanacidification cfcc 15 sem st,stocker fish catch potential could drop much 50 areas due oceanacidification cfcc 15 sem st
3,10224,"...a longer memory, and a sterner sense of justice than we do. -W.Berry #SemST",1,"...a longer memory, and a sterner sense of justice than we do. -W.Berry #SemST","...a longer memory, and a sterner sense of justice than we do. -W.Berry #SemST","...a longer memory, and a sterner sense of justice than we do. -W.Berry #SemST","...a longer memory, and a sterner sense of justice than we do. -W.Berry Sem ST","...a longer memory, and a sterner sense of justice than we do. -w.berry sem st",longer memory sterner sense justice w berry sem st
4,10225,"Boni ""Future Sea level rise will not be uniform & different for coasts"" #CCFC15 #Journey2015 #SemST",0,"Boni ""Future Sea level rise will not be uniform & different for coasts"" #CCFC15 #Journey2015 #SemST","Boni ""Future Sea level rise will not be uniform & different for coasts"" #CCFC15 #Journey2015 #SemST","Boni ""Future Sea level rise will not be uniform & different for coasts"" #CCFC15 #Journey2015 #SemST","Boni ""Future Sea level rise will not be uniform & different for coasts"" CCFC 15 Journey 2015 Sem ST","boni ""future sea level rise will not be uniform & different for coasts"" ccfc 15 journey 2015 sem st",boni future sea level rise uniform different coasts ccfc 15 journey 2015 sem st
5,10226,"@climasphere Bony: Extreme weather events (heat waves, drought, flooding, windstorms) made more frequent/intense by #CFCC15 #SemST",0,"@climasphere Bony: Extreme weather events (heat waves, drought, flooding, windstorms) made more frequent/intense by #CFCC15 #SemST","  Bony: Extreme weather events (heat waves, drought, flooding, windstorms) made more frequent/intense by #CFCC15 #SemST","  Bony: Extreme weather events (heat waves, drought, flooding, windstorms) made more frequent/intense by #CFCC15 #SemST","  Bony: Extreme weather events (heat waves, drought, flooding, windstorms) made more frequent/intense by CFCC 15 Sem ST","  bony: extreme weather events (heat waves, drought, flooding, windstorms) made more frequent/intense by cfcc 15 sem st",bony extreme weather events heat waves drought flooding windstorms made frequent intense cfcc 15 sem st
6,10227,Camille Parmesan: 2/3 of species have changed #habitat because of #H12 #CFCC15 #SemST,0,Camille Parmesan: 2/3 of species have changed #habitat because of #H12 #CFCC15 #SemST,Camille Parmesan: 2/3 of species have changed #habitat because of #H12 #CFCC15 #SemST,Camille Parmesan: 2/3 of species have changed #habitat because of #H12 #CFCC15 #SemST,Camille Parmesan: 2/3 of species have changed habitat because of 12 CFCC 15 Sem ST,camille parmesan: 2/3 of species have changed habitat because of 12 cfcc 15 sem st,camille parmesan 2 3 species changed habitat 12 cfcc 15 sem st
7,10228,"5 meta-analyses show 1/2 of species have changed where they live, 2/3 have changed when they live. Camille Parmesan #CFCC15 #SemST",0,"5 meta-analyses show 1/2 of species have changed where they live, 2/3 have changed when they live. Camille Parmesan #CFCC15 #SemST","5 meta-analyses show 1/2 of species have changed where they live, 2/3 have changed when they live. Camille Parmesan #CFCC15 #SemST","5 meta-analyses show 1/2 of species have changed where they live, 2/3 have changed when they live. Camille Parmesan #CFCC15 #SemST","5 meta-analyses show 1/2 of species have changed where they live, 2/3 have changed when they live. Camille Parmesan CFCC 15 Sem ST","5 meta-analyses show 1/2 of species have changed where they live, 2/3 have changed when they live. camille parmesan cfcc 15 sem st",5 meta analyses show 1 2 species changed live 2 3 changed live camille parmesan cfcc 15 sem st
8,10229,It literarly just took me 10 minutes to get in a bus because an old lady just had to go in front of everyone... #SemST,1,It literarly just took me 10 minutes to get in a bus because an old lady just had to go in front of everyone... #SemST,It literarly just took me 10 minutes to get in a bus because an old lady just had to go in front of everyone... #SemST,It literarly just took me 10 minutes to get in a bus because an old lady just had to go in front of everyone... #SemST,It literarly just took me 10 minutes to get in a bus because an old lady just had to go in front of everyone... Sem ST,it literarly just took me 10 minutes to get in a bus because an old lady just had to go in front of everyone... sem st,literarly took 10 minutes get bus old lady go front everyone sem st
9,10230,"Grubb: state of energy: shift US & EU from net-producer to net-importer of emissions"" #CCFC15 #journey2015 #SemST",0,"Grubb: state of energy: shift US & EU from net-producer to net-importer of emissions"" #CCFC15 #journey2015 #SemST","Grubb: state of energy: shift US & EU from net-producer to net-importer of emissions"" #CCFC15 #journey2015 #SemST","Grubb: state of energy: shift US & EU from net-producer to net-importer of emissions"" #CCFC15 #journey2015 #SemST","Grubb: state of energy: shift US & EU from net-producer to net-importer of emissions"" CCFC 15 journey 2015 Sem ST","grubb: state of energy: shift us & eu from net-producer to net-importer of emissions"" ccfc 15 journey 2015 sem st",grubb state energy shift us eu net producer net importer emissions ccfc 15 journey 2015 sem st
