,index,tweet,label
969,10970,Need a ProLife R.E. Agent? - Support a ProLife Group (U-choose) at NoCost ProLifeRealEstate@Yahoo.com #SemST,2
970,10971,Where is the childcare program @joanburton which you said would be in place? #loneparents #7istooyoung #SemST,2
971,10972,I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. #abortion. #SemST,2
972,10973,"we must always see others as Christ sees us,we must see God in all things&remeber 2 look past sin #RomanCatholic #SemST",2
973,10974,PRAYERS FOR BABIES Urgent prayer one in Lexington KY&two in Dallas TX&in Chattanooga TN  Life begins at conception  #SemST,2
974,10975,I do not want to bring a child into this dangerous patriarchy. But I want to feel pregnancy as an experience #PregnancyForAll #SemST,2
975,10976,I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. #PregnancyForAll #SemST,2
976,10977,"In so many ways to Christians right here in America we already ARE the ""Great Satan"" #GayMarriage #Drugs #WakeUpAmerica #SemST",2
977,10978,Pray for the Navy yard. God please keep the casualties minimal.   #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,2
978,10979,I #DenounceHarper because his religious ties are responsible for the #MarchForLife anti-choice rallies on Parliament Hill. #SemST,2
979,10980,The government has given no explanation of why the law was changed #macedonia #HRCtte #SemST,2
980,10981,The government has not been able to point to any improved health outcomes for women #law #macedonia #HRCtte #SemST,2
981,10982,#ICCPR report does not cite any reasons for the changes in the legislation regulating. #macedonia #law # #SemST,2
982,10983,Those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. #rape #SemST,2
983,10984,@notmuchelse Giving birth is not pushing women toward death. #SemST,2
984,10985,I am about to deck these 2 bitches in the fucking mouth.  #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,2
985,10986,If u come 2 this country 4 bettwr life fucking adapt 2 USA WAYS #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,2
986,10987,It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? #SemST,2
987,10988,"Why would I want to make choices about my own body, when a congressman could do it for me?  #ConversationsWithAlex #SemST",2
988,10989,Does the Gay Community support Abortion? #ProLifeYouth #LGBTPrideMonth #SemST,2
989,10990,It's sad to see so many people getting their values from Hollywood rather than the Holy Scriptures.  #ProLifeYouth #SemST,2
990,10991,"The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! #SemST",2
991,10992,@prolife_wife You can say that again! #AbortionIsMurder #AllLivesMatter #ProLifeYouth #SemST,2
992,10993,@__Porky @P226_Sig @_HankRearden @jrmadmen @aemdee who is for it. I'm not. But am for a women's right to her own body. #SemST,0
993,10994,it's not that i don't want to be at work. it's that i rather be asleep. #SemST,1
994,10995,Anti choice laws are sexist because they only effect women*.   #SemST,0
995,10996,So anti-choice laws are telling these women they're incapable and shouldn't make decisions that involve their own body.   #SemST,0
996,10997,Like how can you sit there and even go through with the process #SemST,1
997,10998,"Fair IS fair if U believe an unborn child has no right to life, then UR saying I can decide if you do?? #SemST",2
998,10999,@MichestBlogSpot: Postinor is popularly  used for?  #MrChocho_BabyOKoko #SemST,1
999,11000,#FF #Patriot --> PigsWalkUpright.  Thanks 4 following back!! #Truth #Liberty #Justice #ProIsrael #2A #RiseUpAmerica #ProudAmerican #SemST,1
1000,11001,"How many location-efficient, #affordablehousing units could the NYC metro (pop. 23M) create if it built over all of its cemeteries? #SemST",1
1001,11002,"@nytimes while you are at it, eliminate all drugs, cars, planes, food, electricity, and anything else that MAY cause a death. #SemST",1
1002,11003,"Not all women want to have or bear children, and that is okay  #SemST",0
1003,11004,"Meanwhile, @JustinTrudeau wants to waste your money to kill innocent children in the womb. #dangerous #hypocrite #noChoice #SemST",2
1004,11005,"If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? #SemST",2
1005,11006,89% of abortions occur at the 12th week or before #letstalkabortion #SemST,1
1006,11007,1.2% of abortions happen at 21 weeks+  (these are only exceptions) #letstalkabortion #SemST,1
1007,11008,#NothingMoreAmericanThan unjustified homicide of the unborn in #SemST,2
1008,11009,Generate belief in quality existence for everyone especially children in that community.Kittington2016 #SemST,2
1009,11010,"When Declaration of Independence was adopted, abortion was illegal in all 13 colonies. #txlege #SemST",2
1010,11011,I'm really pissed off by vaccines mandates. It's not ok to force parents to inject their kids when there might be consequences. #SemST,1
1011,11012,Please vote against the anti-choice amendment to the Scotland Bill on Monday @KevinBrennanMP - Thanks! #abortionrights #SemST,2
1012,11013,@notmuchelse But of course today one doesn't have to be responsible You can kill your child instead! #SemST,2
1013,11014,Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens #SemST,2
1014,11015,"Damn, interesting news when you find out you were almost a product of abortion #SemST",2
1015,11016,Reading law cases on abortion rulings from the past 100 years is exhausting! #research #workhard #work #publichealth #SemST,2
1016,11017,Every1 needs 2 c @Rick_Reyna & @rallysforchrist's movie #TheRallyLA. It's life transforming. #drugs #forgive #SWBC2015 #Salvation #SemST,2
1017,11018,@VeronicaCoffin @Fingersflying the irony of Margaret Sanger wanting to rid the world of blacks. #SemST,2
1018,11019,"#rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices #SemST",2
1019,11020,I hope you all either enjoy the rugby or enjoy not enjoying the rugby #SemST,2
1020,11021,En route to Parnell Square for the rally for life!!  #everylifematters #SemST,2
1021,11022,@Independent_ie No one has 5he right to tell any person what they should do with their body #SemST,2
1022,11023,@ProWomanChoice @BuhayIpaglaban people like you are exactly what is wrong with our society. #ProCONTRACEPTION #unapologetic  #SemST,2
1023,11024,A bundle of cells feels more pain than a fully grown women? no. #SemST,2
1024,11025,pro-choicers are basically tryna fight oppression with more  oppression . #feminist #SemST,2
1025,11026,#rally4life more like rally for people who think they have the right to authorise other people's decisions #SemST,2
1026,11027,"As a man, the only body I should have a say in is my own. #repealthe8th #rally4life #SemST",2
1027,11028,Wish I could be at the #rallyforlife counter protest. Women are people. Fetuses are clumps of cells. End of story. #ireland #SemST,2
1028,11029,"#rally4life because if they don't want an abortion, then no one can have the choice  #SemST",2
1029,11030,"@MikeDury And don't forget, now ""Private clubs"" and organizations. AKA ~> #GirlScouts & #SemST",2
1030,11031,"So you're at the #rally4life? Tell me more about how #antichoice laws kill 47,000 women A YEAR! Very ""#prolife"" uh? #REpealThe8th #SemST",2
